Chamber Pressure,OF,Adiabatic flame temperature,cp mass,cv mass,cp molar,cv molar,Isentropic exponent,Molecular weight,Specific gas constant,Specifc impulse,Vacuum specific Impulse,Characteristic velocityThrust coefficient,Vacuum thrust coefficient
bar,-,K,J/kg-K,J/mol-K,J/kg-K,J/mol-K,-,g/mol,J/kg-K,sec,sec,m/s,-,-
5.0,11.88888888888889,2876.8650727102713,1422.3564227721,1127.613918863958,40123.5965292419,31809.13391108866,1.2613860107412362,28.20924199227298,294.74250390814194,154.81183833399174,291.7146822985722,1394.8049825739638,1.088457191769125,2.0509991180875304
5.0,12.03030303030303,2872.147335041158,1420.8599714147886,1126.356580923963,40113.925677628395,31799.463059475154,1.2614655034458457,28.232145661536148,294.5033904908253,154.6191785178589,291.3220244207587,1393.0642729121525,1.0884610254503162,2.050797788973223
5.0,12.171717171717171,2867.449658493204,1419.3898480095513,1125.1186713835127,40104.042696845536,31789.580078692296,1.2615467897836814,28.254424077419262,294.27117662603854,154.42878460809615,290.9330571818019,1391.3438786154616,1.0884649466270035,2.0505920276524603
5.0,12.313131313131313,2862.772467924801,1417.9452990687887,1123.8996803342977,40093.959687047296,31779.497068894056,1.261629773439413,28.27609761348221,294.045618734491,154.24060612134983,290.547723320906,1389.6433507232823,1.0884689508517886,2.050382085030636
5.0,12.454545454545453,2858.1161549317353,1416.5256007410953,1122.6991168913298,40083.688171012014,31769.225552858774,1.2617143626721192,28.29718583980487,293.82648384976557,154.05459430401297,290.1659670122451,1387.9622561363558,1.088473033436025,2.0501682000501606
5.0,12.595959595959595,2853.481080685407,1415.1300573785659,1121.5165084384791,40073.23914163123,31758.77652347799,1.2618004699270042,28.317707572309104,293.6135489400866,153.87070218578887,289.78773386080536,1386.3001768558197,1.0884771904254062,2.0499506006783332
5.0,12.737373737373737,2848.8675782012674,1413.7580002121515,1120.3513997531124,40062.62308171904,31748.160463565797,1.261888011675351,28.337680901333293,293.4066004590391,153.68888442123895,289.4129708802267,1384.6567095329306,1.0884814178367281,2.0497295043187567
5.0,12.878787878787879,2844.2759545516815,1412.4087860809782,1119.2033522570923,40051.84999564226,31737.38737748902,1.2619769081575567,28.357123228307326,293.20543382388587,153.50909725285314,289.04162647321385,1383.0314648695764,1.0884857118682085,2.049505118468759
5.0,13.020202020202019,2839.7064928235254,1411.0817962336941,1118.071943283646,40040.92943571318,31726.46681755994,1.2620670831695433,28.376051298079293,293.0098529500483,153.33129844846366,288.6736504062729,1381.424067070534,1.0884900688883468,2.049277641267656
5.0,13.16161616161616,2835.15945388748,1409.7764351937637,1116.9567653787062,40029.87052671393,31715.40790856069,1.2621584638647823,28.394481229367482,292.8196698150577,153.15544724060197,288.3089937813536,1379.8341533117652,1.088494485425811,2.0490472620060514
5.0,13.303030303030303,2830.6350779988843,1408.4921296849473,1115.8574256351815,40018.681988712364,31704.219370559123,1.2622509805705588,28.412428543469233,292.6347040497659,152.98150426781967,287.94760900504633,1378.2613732251843,1.0884989581601667,2.048814161599504
5.0,13.444444444444445,2826.1335862476035,1407.2283276134513,1114.7735450586551,40007.37215831337,31692.909540160126,1.262344566617257,28.42990819134712,292.45478255479617,152.80943151798695,287.58944975587144,1376.7053884000827,1.0885034839134193,2.048578513029555
5.0,13.585858585858585,2821.655181872599,1405.9844971034688,1113.7047579630412,39995.94900847108,31681.486390317838,1.2624391581795928,28.446934579199493,292.2797391404277,152.6391922735656,287.23447095013586,1375.1658719013592,1.0885080596422285,2.048340481754771
5.0,13.727272727272727,2817.2000514548845,1404.7601255830684,1112.6507113948494,39984.42016698184,31669.957548828603,1.2625346941287825,28.463521592617575,292.1094141882189,152.4707510588343,286.8826287067507,1373.6425078044629,1.0885126824307347,2.048100226094296
5.0,13.868686868686869,2812.768366001494,1403.5547189174956,1111.6110645846604,39972.79293376159,31658.330315608353,1.2626311158947634,28.479682619421474,291.9436543328353,152.30407358904657,286.5338803113615,1372.1349907469867,1.0885173494838987,2.0478578975860753
5.0,14.01010101010101,2808.360281931393,1402.3678005871725,1110.585488424522,39961.074297005835,31646.611678852594,1.2627283673376402,28.495430571262474,291.78231216265044,152.1391267214902,286.1881841800737,1370.6430254966544,1.0885220581213566,2.0476136413217896
5.0,14.15151515151515,2803.975941973339,1401.1989109078527,1109.573664970023,39949.27094831849,31634.808330165248,1.2628263946276235,28.510777904069954,291.6252459378297,151.9758784084058,285.8454998230308,1369.1663265354612,1.0885268057716815,2.047367596260353
5.0,14.292929292929292,2799.6154759844703,1400.0476062905532,1108.5752869657729,39937.38929687815,31622.92667872491,1.2629251461328845,28.525736637408247,291.47231932478024,151.81429765170702,285.5057878080516,1367.704617659821,1.0885315899667514,2.0471198955213414
5.0,14.434343434343434,2795.279001697665,1398.913458538925,1107.5900573934152,39925.435482760346,31610.972864607105,1.2630245723143323,28.540318372846233,291.3234011455096,151.65435445953207,285.16900972449963,1366.257631595689,1.08853640833728,2.0468706666608663
5.0,14.575757575757574,2790.9666254048,1397.7960541820667,1106.6176890407341,39913.41538942233,31598.952771269087,1.263124625627247,28.55453431135777,291.1783651413325,151.4960198044739,284.83512814755056,1364.8251096291667,1.0885412586080065,2.0466200319300483
5.0,14.717171717171716,2786.678442582189,1396.69499384074,1105.6579040909126,39901.33465543112,31586.87203727788,1.2632252604291037,28.568395269827196,291.0370897498273,151.3392655834821,284.50410660296507,1363.4068012518712,1.0885461385930706,2.0463681085177052
5.0,14.858585858585858,2782.414538464079,1395.6098916251074,1104.7104337311187,39889.198685514755,31574.736067361515,1.2633264328929044,28.581911696732156,290.89945789398877,151.18406457941865,284.1759095324828,1362.0024638203079,1.0885510461920573,2.04611500877901
5.0,15.0,2778.17498856936,1394.5403745622643,1103.7750177793143,39877.012660963825,31562.550042810584,1.2634281009258037,28.595093687037146,290.7653567829501,151.03039042417973,283.8505022599194,1360.6118622291588,1.0885559793861548,2.0458608404506258
78.75,1.0,1112.3572382614964,1702.2249537228363,1412.5070556829048,48851.264768825065,40536.80215067182,1.2051089917564068,28.698477637744254,289.71789803993136,143.55102560028715,198.43804567401688,874.0098983626804,1.6106850366800904,2.226533663125149
78.75,1.1414141414141414,1129.8723084744558,1767.5334397002468,1465.926222934486,48725.92528890658,40411.462670753346,1.205745154187913,27.567187242109508,301.6072167657609,147.55382432060475,203.79467129012752,898.5863813421225,1.6103167612137812,2.2240967086796024
78.75,1.2828282828282829,1293.7297812635163,1805.4032425245482,1497.125571035795,48692.97765930041,40378.51504114717,1.2059130359222103,26.970693589323346,308.27767148875307,159.60991723122595,220.3957518092138,972.0652296296627,1.610219712736692,2.223455724574425
78.75,1.4242424242424243,1459.206878674874,1814.4298177274684,1499.8181295036989,47951.20288737526,39636.74026922202,1.2097665590479807,26.42769779182368,314.61168822376976,170.81220441298692,234.65123458654435,1041.7209532551608,1.608007882698619,2.2089817071141216
78.75,1.5656565656565657,1582.2455142676508,1805.131595161845,1482.9737943599996,46588.03583667407,38273.57321852083,1.2172376895849855,25.808664565808048,322.1578008018456,179.1222375252739,243.71692652421922,1095.2638231143928,1.6038045387387578,2.182165198063983
78.75,1.7070707070707072,1678.061609240159,1786.496044318755,1456.3494268344743,44991.3880419331,36676.92542377986,1.226694645804811,25.184152064042035,330.14661748428057,185.623365099526,249.68893822444102,1138.6824477851335,1.5986400571063872,2.1503905946750494
78.75,1.8484848484848484,1760.4737363956124,1764.4072021745292,1426.6026253541863,43427.76484488715,35113.30222673391,1.2367895381774412,24.613232586766227,337.80457682034296,191.1184042558744,254.16076464912453,1176.311051865837,1.5933126668520279,2.1188831463351865
78.75,1.9898989898989898,1838.4633323964174,1741.9052162110556,1397.2378474737143,42020.24072545704,33705.778107303806,1.246677664336476,24.123149947767143,344.6673687373416,196.09862915161688,258.06794783141254,1210.7936595469575,1.5882727881885823,2.090184418002208
